Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Tests),Outward issue link (Tests),Custom field (Begin Date),Custom field (Conditions),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Generic Test Definition),Custom field (Manual Test Steps),Custom field (Manual Test Steps (Export)),Custom field (Pre-Condition Type),Custom field (Rank),Custom field (Requirement Status),Custom field (Revision),Custom field (Severity),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps Count),Custom field (Story Points),Custom field (Test Count),Custom field (Test Environments),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Status),Custom field (Test Plan Status),Custom field (Test Repository Path),Custom field (Test Set Status),Custom field (Test Sets association with a Test),Custom field (Test Type),Custom field (TestRunStatus),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set)
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-141),AD-798,23011,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 06:25,22-12-2020 06:25,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00aan:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-140),AD-797,23008,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 05:14,22-12-2020 05:14,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a9z:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-140),AD-796,23006,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 05:12,22-12-2020 05:12,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a9j:,,,,,,,,,,,,Dev,,,,,,"PASS : 4(80.0%), FAIL : 1(20.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-139),AD-795,23003,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 04:57,22-12-2020 04:57,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a8v:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-139),AD-794,23001,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 04:54,22-12-2020 04:54,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a8f:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-138),AD-793,22908,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,30-11-2020 08:59,30-11-2020 08:59,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a7r:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-138),AD-792,22906,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,30-11-2020 08:57,30-11-2020 08:57,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a7b:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-137),AD-791,22903,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,30-11-2020 08:36,30-11-2020 08:36,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a6n:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-137),AD-790,22901,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,30-11-2020 08:34,30-11-2020 08:34,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a67:,,,,,,,,,,,,Dev,,,,,,"PASS : 4(80.0%), FAIL : 1(20.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
19-11-2020_1,AD-789,22816,Bug,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,IATVirtusa,admin,admin,19-11-2020 05:23,27-01-2021 11:47,03-02-2021 04:36,,,,0,,,,19-11-2020_1,,admin,,,,,,,,,,,AD-177,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a5r:,,,,AD Sprint 6,AD Sprint 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-134),AD-788,22814,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:53,19-11-2020 04:53,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a5b:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-134),AD-787,22812,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:52,19-11-2020 04:52,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a4v:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-133),AD-786,22809,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:36,19-11-2020 04:36,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a47:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-133),AD-785,22807,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:34,19-11-2020 04:34,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a3r:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(40.0%), FAIL : 3(60.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-132),AD-784,22804,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:21,19-11-2020 04:21,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a33:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-132),AD-783,22802,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,19-11-2020 04:20,19-11-2020 04:20,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a2n:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
19-11-2020,AD-782,22800,Test,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,IATVirtusa,admin,admin,19-11-2020 04:05,19-11-2020 04:05,03-02-2021 04:37,,,,0,,,,19-11-2020,,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],<p>N/A</p>,,0|i00a27:,,,,,,,,,0,,,,,,,,,,,,,,Manual,TODO,,,,,,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-131),AD-781,22720,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 08:09,17-11-2020 08:09,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a0n:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-131),AD-780,22718,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 08:07,17-11-2020 08:07,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00a07:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-130),AD-779,22715,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 07:43,17-11-2020 07:43,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i009zj:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-130),AD-778,22713,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 07:39,17-11-2020 07:39,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i009z3:,,,,,,,,,,,,Dev,,,,,,"PASS : 4(80.0%), FAIL : 1(20.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
17-11-2020 Automated,AD-777,22712,Test,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,admin,admin,17-11-2020 07:38,17-11-2020 07:38,03-02-2021 04:37,,,,0,,,,,,admin,,,,,,,,,,,,,,,,,,,,,,,,,,Scenario,,,,,,,[],<p>N/A</p>,,0|i009yv:,,,,,,,,,,,,,,,,,,,,,,,Cucumber,TODO,,,,,,,,,,,,,,,,,,,,
17-11-2020,AD-776,22711,Test,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,admin,admin,17-11-2020 07:37,17-11-2020 07:37,03-02-2021 04:37,,,,0,,,,17-11-2020,,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],<p>N/A</p>,,0|i009yn:,,,,,,,,,0,,,,,,,,,,,,,,Manual,TODO,,,,,,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-129),AD-775,22708,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 07:20,17-11-2020 07:20,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i009xz:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-129),AD-774,22706,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 07:18,17-11-2020 07:18,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i009xj:,,,,,,,,,,,,Dev,,,,,,"PASS : 4(80.0%), FAIL : 1(20.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-128),AD-773,22703,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,17-11-2020 06:46,17-11-2020 06:46,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i009wv:,,,,,,,,,,,,Dev,,,,,,"PASS : 1(50.0%), FAIL : 1(50.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
